Wall time,Step,Value
1747868121.808463,4,-224.08438110351562
1747868217.1361248,16,-214.98492431640625
1747868248.6387045,20,-215.61521911621094
1747868438.4947848,44,-222.2014923095703
1747868469.902293,48,-171.0898895263672
1747868560.2290502,60,-228.81344604492188
1747868591.0135663,64,-122.37895202636719
1747868681.7143776,76,-173.46627807617188
1747868711.8592706,80,-183.38621520996094
1747868742.0058212,84,-217.92161560058594
1747868802.582293,92,-148.4476318359375
1747868832.7530696,96,-224.43023681640625
1747868924.2817457,108,-72.8570556640625
1747868954.1405036,112,-218.20806884765625
1747869014.3454862,120,-228.73829650878906
1747869134.6845524,136,-218.67161560058594
1747869225.1862533,148,-32.37200927734375
1747869255.2422767,152,-164.08750915527344
1747869285.3922637,156,-93.17024993896484
1747869315.5101821,160,-208.80740356445312
1747869345.7347624,164,-87.93665313720703
1747869558.5506046,192,-179.344970703125
1747869588.6375568,196,-213.96583557128906
1747869618.883141,200,-92.91165161132812
1747869679.4300587,208,-146.32424926757812
1747869710.553712,212,-215.31942749023438
1747869770.9812827,220,-94.05287170410156
1747869801.2831895,224,-213.61802673339844
1747869861.8714714,232,-171.1573486328125
1747869953.7793949,244,-170.8662872314453
1747869984.0404878,248,-118.40494537353516
1747870015.113394,252,-216.70875549316406
1747870045.3602772,256,-165.41856384277344
1747870106.1890876,264,-215.01815795898438
1747870136.3804781,268,-144.59060668945312
1747870166.5290265,272,-200.19383239746094
1747870196.4738388,276,-165.73216247558594
1747870256.7856927,284,-228.48611450195312
1747870286.801086,288,-94.21702575683594
1747870467.7052948,312,-0.4116387665271759
1747870528.720048,320,-74.41975402832031
1747870558.9395676,324,-77.00721740722656
1747870619.9018457,332,-158.9788055419922
1747870650.2195382,336,-212.59439086914062
1747870711.449686,344,-138.84811401367188
1747870741.4103854,348,-112.17842864990234
1747870832.1226366,360,19.52903175354004
1747870862.3077834,364,-228.14112854003906
1747871014.355615,384,-147.82208251953125
1747871136.11725,400,-195.44061279296875
1747871166.510372,404,-207.27301025390625
1747871257.433055,416,-69.8321304321289
1747871349.0119019,428,-219.870849609375
1747871379.2675803,432,-226.68869018554688
1747871439.9173408,440,-217.83534240722656
1747871470.2258224,444,-149.86016845703125
1747871591.957686,460,-129.9981689453125
1747871652.266707,468,-134.49575805664062
1747871804.3992522,488,-138.97694396972656
1747871926.0702438,504,-132.8225860595703
1747871956.4309926,508,-104.85243225097656
1747872018.2102935,516,-15.007820129394531
1747872079.730437,524,-160.4724884033203
1747872110.1170378,528,-187.1955108642578
1747872140.1109345,532,-204.95314025878906
1747872200.565511,540,-163.19859313964844
1747872261.4726398,548,-176.53482055664062
1747872291.9284687,552,-202.13787841796875
1747872473.6962795,576,-155.63027954101562
1747872503.6873453,580,-26.763946533203125
1747872565.70374,588,-150.6644287109375
1747872596.627522,592,-142.76089477539062
1747872688.5237036,604,-137.72891235351562
1747872898.9495933,632,-198.81192016601562
1747872958.2714567,640,-213.89039611816406
1747872988.331253,644,-127.21001434326172
1747873049.4159622,652,-213.9063262939453
1747873109.7661328,660,-166.71873474121094
1747873171.2109582,668,-92.7166519165039
1747873294.9022267,684,-199.42861938476562
1747873325.1755111,688,-155.0749053955078
1747873355.396841,692,-152.39669799804688
1747873446.9691098,704,-192.8520050048828
1747873477.979047,708,-128.2772674560547
1747873509.1996083,712,-134.11141967773438
1747873540.7842913,716,-107.24693298339844
1747873600.9964812,724,-118.78349304199219
1747873631.2295578,728,-121.45950317382812
1747873721.6308327,740,-143.9049072265625
1747873751.7655272,744,-209.95223999023438
1747873781.9668474,748,-101.60256958007812
1747873875.5350988,760,-213.44308471679688
1747873905.7608032,764,-64.36653137207031
1747873937.0286117,768,-219.3710479736328
1747873968.0775273,772,-158.30714416503906
1747874058.3197536,784,-43.0887451171875
1747874149.2324524,796,-137.03616333007812
1747874179.512819,800,-109.40534210205078
1747874209.7635665,804,-186.36607360839844
1747874272.3142183,812,-136.56015014648438
1747874304.2004228,816,-212.4290008544922
1747874335.8769383,820,-177.90719604492188
1747874366.1711445,824,-24.10443115234375
1747874426.6348488,832,-190.89329528808594
1747874487.1628942,840,-168.13380432128906
1747874548.408556,848,-100.80924224853516
1747874608.7260685,856,-96.5120620727539
1747874668.972591,864,-98.95809936523438
1747874699.0947788,868,-189.1871795654297
1747874760.2926996,876,-88.21908569335938
1747874790.6960464,880,-196.40365600585938
1747874821.7045376,884,-225.87132263183594
1747874852.713837,888,-60.46588897705078
1747874882.9985769,892,-160.09986877441406
1747874943.888071,900,-220.8837432861328
1747874974.1484025,904,-112.56412506103516
1747875096.5058594,920,-90.83267974853516
1747875190.610701,932,-136.99977111816406
1747875283.2291377,944,-217.3702392578125
1747875343.7095141,952,-202.2605438232422
1747875374.5067914,956,-216.6097869873047
1747875404.643149,960,-204.45635986328125
1747875465.5495977,968,-160.6687774658203
1747875496.3703506,972,-186.8962860107422
1747875557.386919,980,-157.1519775390625
1747875587.5592043,984,-177.7960968017578
1747875617.775495,988,-189.30413818359375
1747875648.8676622,992,-117.04338073730469
1747875804.838614,1012,-78.61978912353516
1747875835.135478,1016,-174.0552215576172
1747875865.5820944,1020,-172.49066162109375
1747875957.3830667,1032,-218.92236328125
1747875988.5205386,1036,-212.50006103515625
1747876019.4858048,1040,-119.51539611816406
1747876049.9180841,1044,-105.54808807373047
1747876111.291048,1052,-204.326904296875
1747876355.7114513,1084,-111.33858489990234
1747876386.5516062,1088,-25.753812789916992
1747876478.7196472,1100,-178.82215881347656
1747876509.014149,1104,-192.916015625
1747876539.94062,1108,-102.6151123046875
1747876600.0193577,1116,-168.08346557617188
1747876660.7121944,1124,-110.95894622802734
1747876721.3589113,1132,-133.00253295898438
1747876752.2292204,1136,-156.547119140625
1747876812.368466,1144,-163.88250732421875
1747876875.196539,1152,-148.05130004882812
1747876905.1996644,1156,-133.85757446289062
1747876966.6753938,1164,-193.3220977783203
1747877120.5015392,1184,-208.97415161132812
1747877150.6998658,1188,-133.96078491210938
1747877180.714161,1192,-130.72268676757812
1747877210.6007009,1196,-215.3289031982422
1747877238.9548953,1200,-94.91121673583984
1747877386.3925211,1220,-226.12620544433594
1747877447.348041,1228,-106.04358673095703
1747877478.3506832,1232,-152.10206604003906
1747877508.355201,1236,-83.4178466796875
1747877538.3369517,1240,-215.83380126953125
1747877630.4406652,1252,-89.23900604248047
1747877661.553506,1256,-214.66001892089844
1747877754.2378576,1268,-118.71097564697266
1747877814.5338588,1276,-93.32495880126953
1747877845.5794396,1280,-210.8426971435547
1747877937.5241725,1292,-103.57546997070312
1747878000.5069582,1300,-207.0454864501953
1747878157.148546,1320,-84.57683563232422
1747878188.1884236,1324,-114.00370025634766
1747878219.2115963,1328,-70.71294403076172
1747878249.3120358,1332,-82.22689056396484
